Categorias,Suma de price
Salud y Belleza,1231751.139999976
Relojes y Regalos,1164537.1799999995
"Mesa, Baño , Cama",1022765.2600000041
Ocio y Deportes,954039.8600000126
Accesorios de Computadoras,886674.580000014
Decoración de muebles,711656.8900000138
Artículos para el hogar,615138.200000011
Cosas Interesantes,609890.1000000029
Auto,577750.260000007
Juguetes,470988.64000000467
