ds;trend;yhat_lower;yhat_upper;trend_lower;trend_upper;additive_terms;additive_terms_lower;additive_terms_upper;weekly;weekly_lower;weekly_upper;yearly;yearly_lower;yearly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat
2016-10-03;-357.30724817957406;-878.0193461157415;652.3775240122992;-601.9782948871999;-103.07757441519999;348.01249550146036;155.92707495831172;543.5723656787701;275.86375996140345;203.09535403988363;348.9162549178185;72.14873554005702;-69.72822280836597;234.20322459556195;0.0;0.0;0.0;-9.294752678113696
2016-10-04;-352.2092038943666;-654.4631201371004;635.2173175206383;-596.5535842266158;-99.72654191096402;279.6990980200105;121.77697276271698;420.1651072268406;228.1284355886217;161.50932924436188;291.59584706021207;51.57066243138885;-102.13481253471903;217.95897821012744;0.0;0.0;0.0;-72.5101058743561
2016-10-05;-347.11115960915924;-1004.7576936275476;628.9150011609305;-591.1288735660315;-96.37550940672804;154.76701027909124;-11.141096128889819;358.1590219672835;123.23896390741156;49.97981239875898;197.94501676075012;31.528046371679682;-127.64339176340818;174.38919634792958;0.0;0.0;0.0;-192.344149330068
2016-10-06;-342.0131153239519;-905.60279401111;471.9726781918552;-585.7041629054474;-93.02447690249207;130.8747700658917;-51.84225655398764;303.0518637566338;118.70460574065099;50.655978343670675;182.18230158478198;12.170164325240744;-154.43170926765416;169.98526762808802;0.0;0.0;0.0;-211.1383452580602
2016-10-07;-336.91507103874454;-1095.005349524446;351.8033793598933;-580.1806939261799;-89.6734443982561;-55.54590021181302;-277.2411287138477;122.49674737207253;-49.10725670077864;-123.61631709985993;21.301900638944495;-6.438643511034363;-182.59802316146408;173.16867879386777;0.0;0.0;0.0;-392.4609712505576
2016-10-08;-331.81702675353716;-1722.106980843554;68.03710603588563;-574.1795620642748;-86.32241189402012;-474.0702064936314;-676.6498181712415;-247.0401109039912;-449.7528894033201;-536.2879577432846;-381.0425128192929;-24.31731709031137;-187.2717020985956;176.69710293192884;0.0;0.0;0.0;-805.8872332471685
2016-10-09;-326.7189824683298;-1486.1815109105607;172.03064018954174;-568.1784302023698;-82.97137938978415;-288.6390450921073;-438.9755195215944;-126.39762545214798;-247.07561909296675;-307.0678105577267;-182.641984214749;-41.56342599914056;-227.50249274523878;153.72872915561248;0.0;0.0;0.0;-615.3580275604371
2016-10-10;-321.62093818312235;-811.9412014964865;447.4676189084376;-562.0517289184488;-79.62034688554817;217.51809385207906;0.6812232990565507;447.6146638947981;275.86375996089066;203.09535403935052;348.9162549164714;-58.34566610881163;-261.10179447159555;147.0978450165878;0.0;0.0;0.0;-104.10284433104329
2017-01-09;142.30109177074922;-149.13056925408733;1373.7448018696327;30.48004463990216;251.8821238041813;318.6829064843339;150.05668229332568;498.59316309793627;275.86375996132233;203.0953540397212;348.91625491707646;42.81914652301151;-110.05889830278561;220.6308993012754;0.0;0.0;0.0;460.9839982550831
2017-01-11;152.497180341164;-296.08224915619223;1395.9786477954708;39.569974790365464;256.4657236993381;362.2482152953311;193.50395692555432;564.3225213727582;123.2389639073848;49.979812397895145;197.94501676108075;239.0092513879463;90.56759335759614;402.1997694234591;0.0;0.0;0.0;514.7453956364951
2017-01-13;162.69326891157874;-257.9111826590859;1229.6387951577183;48.74477715035543;265.4793653481611;361.673908787778;192.09102152196564;553.182279894519;-49.10725670088534;-123.61631709988288;21.301900638929474;410.7811654886633;264.6185029256256;567.64332289031;0.0;0.0;0.0;524.3671776993567
2017-01-14;167.79131319678618;-542.2233693863983;1127.3320919633693;53.6445338162864;271.5389425119626;35.190979235021494;-120.76784863078954;201.13279445190778;-449.75288940352823;-536.2879577437986;-381.0425128194893;484.9438686385497;347.5074408308429;635.2186695318222;0.0;0.0;0.0;202.98229243180768
2017-01-15;172.88935748199353;-43.5021936343076;1356.0356252173165;59.854894652941084;277.8929424831525;303.2046792095357;132.74248693538507;504.6129551555114;-247.07561909291897;-307.0678105578236;-182.64198421475976;550.2802983024546;411.8035346250649;704.233269818334;0.0;0.0;0.0;476.09403669152925
2017-01-16;177.9874017672009;326.4057833068705;1871.494765545381;66.6178177623771;283.98573693204315;882.1344281843724;738.6994694325055;1037.6244827020018;275.8637599609722;203.0953540394425;348.9162549167348;606.2706682234002;460.84787722862427;765.4093355753213;0.0;0.0;0.0;1060.1218299515733
2017-01-17;183.08544605240823;362.528196321004;1916.1745464141402;73.55568131873387;288.24063800650066;880.7176360864869;719.3405630125474;1058.4762427096455;228.12843558882713;161.50932924480065;291.5958470601878;652.5892004976598;508.3917050920915;815.6778417752406;0.0;0.0;0.0;1063.8030821388952
2017-01-18;188.1834903376157;258.6006763002334;1760.5059612466575;80.58486831863895;292.1552267875683;812.3411792347733;677.2837725265732;982.8468980477647;123.23896390737941;49.97981239843278;197.9450167608449;689.1022153273937;542.3737987328022;853.7349911397401;0.0;0.0;0.0;1000.524669572389
2017-01-19;193.28153462282302;340.45877529594884;1793.2619142321082;87.65880723486048;296.02522884395677;834.566973220205;675.6689459871006;1001.1353613536327;118.70460574070907;50.65597834379421;182.1823015847717;715.8623674794958;584.2413092052368;881.351751045108;0.0;0.0;0.0;1027.848507843028
2017-01-20;198.37957890803045;35.78978084077794;1384.3713580526749;91.09103743585209;300.9817613750849;683.9920340538789;536.9289689483944;840.9606433361179;-49.10725670105252;-123.6163171002545;21.30190063840665;733.0992907549313;599.1066013385903;902.0487175583575;0.0;0.0;0.0;882.3716129619094
2017-01-21;203.4776231932378;-200.91696883138317;1388.5729556745894;94.08876957935188;307.8879056341553;291.45409401796513;117.69020266161986;426.4693738731124;-449.7528894030438;-536.2879577428291;-381.04251281904135;741.2069834210088;602.0306396238663;915.2479506998995;0.0;0.0;0.0;494.9317172112029
2017-01-22;208.57566747844518;-29.5836994279683;1343.6798892614875;100.7045640060575;312.9410352267109;493.65271015926686;329.1972257054193;660.5995275755248;-247.0756190951007;-307.06781056227726;-182.6419842174848;740.7283292543674;605.2985098713723;887.5594095308061;0.0;0.0;0.0;702.228377637712
2017-01-23;214.50920811684813;489.76922591094643;1918.6376090603646;108.74540661901345;318.4882880474101;1008.2009593493608;868.3122177590309;1171.2619035985138;275.86375996123;203.09535403969238;348.916254917289;732.3371993881304;604.2116373993127;880.3611229145195;0.0;0.0;0.0;1222.710167466209
2017-01-24;220.4427487552512;402.8915358122102;2079.5889812654495;116.78624923196952;324.0237672095885;944.9470542622789;783.684116205408;1121.0430606965742;228.12843558865228;161.50932924481208;291.59584706000834;716.8186186736266;602.1707699478982;854.9670745344528;0.0;0.0;0.0;1165.38980301753
2017-01-25;226.37628939365413;317.98438155101064;1620.652651954372;124.8270918449255;328.74961963068785;818.2864700918475;696.6504610080153;981.1065372465758;123.23896390737413;49.9798123989704;197.94501676060912;695.0475061844735;570.5839855889996;831.2107613337648;0.0;0.0;0.0;1044.6627594855017
2017-01-26;232.30983003205708;169.45375721791552;1644.4487315854894;132.86793445788146;333.4754720517871;786.6711183141882;617.1940899409801;942.45862943353;118.7046057406057;50.65597834356757;182.18230158477948;667.9665125735825;555.6185462778486;799.5614860817795;0.0;0.0;0.0;1018.9809483462453
2017-01-27;238.24337067046;177.24365940924892;1675.9316612642394;140.90877707083743;338.20132447288637;587.4562206285628;464.5220419005141;733.5957605359714;-49.10725670054986;-123.61631709979719;21.30190063899689;636.5634773291126;526.8905006711535;773.2696402126542;0.0;0.0;0.0;825.6995912990228
2017-01-28;244.17691130886294;-390.82775319219917;1195.29084583172;148.94961968379337;342.5561593547018;152.09612755799355;-5.743513380983555;327.9355473885581;-449.7528894033361;-536.287957743425;-381.04251281931204;601.8490169613295;480.8325720388248;743.5057922832347;0.0;0.0;0.0;396.2730388668565
2017-01-29;250.110451947266;-129.77388284241206;1377.8662534060238;155.74725906728287;346.84967397440397;317.7591123962387;175.41676346794495;473.6141601282823;-247.07561909455737;-307.0678105609886;-182.64198421674115;564.8347314907961;443.95677743180255;712.535134460495;0.0;0.0;0.0;567.8695643435047
